,precision,recall
DBA,0.999,1.0
GrasyndaE,0.999,1.0
Jittering,1.0,1.0
MagnitudeWarping,0.999,1.0
Scaling,1.0,1.0
SeasonalMBB,0.993,1.0
TimeWarping,0.84,1.0
TSMixup,0.955,1.0
