,precision,recall
DBA,0.997,1.0
GrasyndaE,0.996,1.0
Jittering,1.0,1.0
MagnitudeWarping,0.982,1.0
Scaling,0.993,1.0
SeasonalMBB,0.994,1.0
TimeWarping,0.991,1.0
TSMixup,0.825,1.0
