unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
m306,smape,0.0907225580871329,0.09195544810789584,0.08700731504736141,0.039448955149813184,0.08789557712383027,0.08680980207693591,0.1053242140067777,0.08741363826438893,0.09530705965993265,0.08727167049991745,0.08864711887168501,0.08522588406121828,0.0654466125527956
m307,smape,0.15906822418906255,0.17102619082703555,0.17636765543739963,0.17400964860017154,0.1819314571994192,0.18349850634050438,0.18733645190455886,0.16801344891269634,0.1532852827231831,0.1981935054512575,0.16481487915452012,0.1503311757368649,0.1619940841718838
m308,smape,0.1638921210816016,0.1719906539515974,0.17692561498074813,0.18180351998611458,0.1700191088105798,0.16879114630905365,0.1780808487845609,0.16751875534347135,0.160316137993424,0.16970542170075623,0.17188616715362878,0.16845890692962284,0.24369731224125768
m309,smape,0.04526504529616382,0.04175308622851386,0.04377337419753257,0.02856781761985289,0.04182527636957246,0.042503436854231046,0.06726441748333796,0.03893648637952795,0.0742343144356735,0.057371914207636134,0.0455931492661081,0.03612624641482872,0.032817691875928215
m31,smape,0.03613807931627987,0.039205655325679205,0.04073143620136334,0.042304210651773484,0.041817835281543085,0.03423475369968306,0.03752937505262402,0.04243105149423665,0.04012750971666597,0.041363646748638766,0.03541509501712174,0.035005513203744,0.03116230272909345
m310,smape,0.03771788011845679,0.039800687274112796,0.03569299104672886,0.05909632677499698,0.04154225450323757,0.0389771411402049,0.041581935775896646,0.03795993710040013,0.04725419799273504,0.04870821117043964,0.03268181023581525,0.03470117724422576,0.07739101354737575
m311,smape,0.08260098281365677,0.10226414129847171,0.09200326875166842,0.10595037373522663,0.09908335035407477,0.12998599045435313,0.10465033132357353,0.11247079529455611,0.0983033797040605,0.0901095459613131,0.10246690022281046,0.10839939690264482,0.11327853528763972
m312,smape,0.15538938630833263,0.15195758783443766,0.15154255407600728,0.16499671622815631,0.15200984066260395,0.16244935479606543,0.15683003648785085,0.1550106535455524,0.1505686210667742,0.14916069477930227,0.15486920917219457,0.1510158194935723,0.20106186860186617
m313,smape,0.14988708669526848,0.1440728283561404,0.14477813003149842,0.14157067876763627,0.14500688756755079,0.1367452515116154,0.14378171810673263,0.1410658687038201,0.1479199277224062,0.1492661388206744,0.14485797862907554,0.1400086842251441,0.12717038039045123
m314,smape,0.0398273853348148,0.0356416460439302,0.038871477753806796,0.04243419838661913,0.03670677605932945,0.039879274765123075,0.03765475273507538,0.036013636553036694,0.03508821177196021,0.0357150882411386,0.03973770933489428,0.043587062867015386,0.05310698500067083
